set,class,nand,tok_per_s,tpot_ms,bytes_leaving_nand_per_token_GB,bytes_entering_nand_per_token_GB,internal_sense_GB_per_token,passes_per_page,accumulator,planes,notes
A0_EXPORT,KNOWN STOCK,slc-2TB-2048pl,0.498,2006.2,136.957,0.002,137.0,0,none (external),2048,all weights exported; needs ~104 GFLOPS in controller
A1_BOOL,LITERATURE-DEMONSTRATED ON COTS (MCFlash arXiv:2605.05119; Flash-Cosmos MICRO'22) — inapplicable to GEMV (see report),slc-2TB-2048pl,0.498,2006.2,136.957,0.002,137.0,0,none (external),2048,boolean ops need both operands pre-stored + give no cross-bitline sum -> zero GEMV benefit; all weights exported; needs ~104 GFLOPS in controller
A2_CMP_CNT(t=1.0us),VENDOR/UNDOCUMENTED POSSIBILITY (program-verify fail-bit counters exist in silicon; on-demand exposed count is the BABOL question),slc-2TB-2048pl,0.02,50908.5,312.553,104.184,137.0,16384 counts (t_count=1.0us),external (counts),2048,MX 32-block scales force 512 masked counts per bitplane pair; BABOL must find sub-1.0us count op for this to move
A2_CMP_CNT(t=10.0us),VENDOR/UNDOCUMENTED POSSIBILITY (program-verify fail-bit counters exist in silicon; on-demand exposed count is the BABOL question),slc-2TB-2048pl,0.002,508749.5,312.553,104.184,137.0,16384 counts (t_count=10.0us),external (counts),2048,MX 32-block scales force 512 masked counts per bitplane pair; BABOL must find sub-10.0us count op for this to move
A2_CMP_CNT(t=100.0us),VENDOR/UNDOCUMENTED POSSIBILITY (program-verify fail-bit counters exist in silicon; on-demand exposed count is the BABOL question),slc-2TB-2048pl,0.0,5087159.7,312.553,104.184,137.0,16384 counts (t_count=100.0us),external (counts),2048,MX 32-block scales force 512 masked counts per bitplane pair; BABOL must find sub-100.0us count op for this to move
B_SHIFT,REQUIRES NEW SILICON (no lateral bitline datapath in stock page buffers),slc-2TB-2048pl,0.498,2006.2,136.957,0.002,137.0,0,none (external),2048,shift without add cannot reduce; all weights exported; needs ~104 GFLOPS in controller
C_ADD(pass=50ns),REQUIRES NEW SILICON (tiny: SIMD latch adder),slc-2TB-2048pl,5.757,173.7,2.14,34.239,137.0,35.7,per-32-block int18 + FP32 chain (export/page),2048,pass=50.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (1.8us vs 3us)
D_ACC(pass=50ns),REQUIRES NEW SILICON (tiny: adder + retained accumulators),slc-2TB-2048pl,5.757,173.7,0.267,34.239,137.0,35.7,per-32-block int18 + FP32 chain (retained),2048,pass=50.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (1.8us vs 3us)
C_ADD(pass=200ns),REQUIRES NEW SILICON (tiny: SIMD latch adder),slc-2TB-2048pl,3.24,308.7,2.14,34.239,137.0,35.7,per-32-block int18 + FP32 chain (export/page),2048,pass=200.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (7.1us vs 3us)
D_ACC(pass=200ns),REQUIRES NEW SILICON (tiny: adder + retained accumulators),slc-2TB-2048pl,3.24,308.7,0.267,34.239,137.0,35.7,per-32-block int18 + FP32 chain (retained),2048,pass=200.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (7.1us vs 3us)
